bearing,cycle,HI
2,17,0.0145201462484334
2,18,0.0184493903968317
2,19,0.0219654361092876
2,20,0.0247509858634444
2,21,0.0266403252931582
2,22,0.0280958194819614
2,23,0.0299564771767978
2,24,0.0332948896454743
2,25,0.0390146173275706
2,26,0.0479173165557978
2,27,0.0606023862417255
2,28,0.0772412895482124
2,29,0.0968044529237548
2,30,0.1175577632803956
2,31,0.1377428456298874
2,32,0.1558035255847665
2,33,0.1703018715371767
2,34,0.1802339270078974
2,35,0.1855023988518493
2,36,0.1868925055216883
2,37,0.1857240202995592
2,38,0.1833287869302729
2,39,0.1809254034938758
2,40,0.1795253833526238
2,41,0.1795977270271928
2,42,0.1807771640967816
2,43,0.1823935020099669
2,44,0.1835665081065325
2,45,0.1834399903322745
2,46,0.1815323781576812
2,47,0.1778143428467353
2,48,0.172716412355624
2,49,0.1671173022814011
2,50,0.1620780262883054
2,51,0.1587077837163539
2,52,0.1577971610589861
2,53,0.1593795583134328
2,54,0.1630656709754631
2,55,0.1681868806696814
2,56,0.1737921465042823
2,57,0.178677483047824
2,58,0.1815820406592526
2,59,0.1820254763256346
2,60,0.1802396473144607
2,61,0.1767797235792321
2,62,0.1723303882053516
2,63,0.1677813563795419
2,64,0.1640513227933369
2,65,0.1619765944578701
2,66,0.1616462589692775
2,67,0.1627688943132124
2,68,0.1648379140638241
2,69,0.1676769497288935
2,70,0.1711492180285337
2,71,0.1751450884677053
2,72,0.1796766551879093
2,73,0.1849770632468221
2,74,0.1915248106719291
2,75,0.1998748016447055
2,76,0.2099240497136128
2,77,0.2210336727899852
2,78,0.2325675099665164
2,79,0.2439748914913502
2,80,0.2548436761834831
2,81,0.2646636744911538
2,82,0.2730375868915002
2,83,0.2798310109432302
2,84,0.285580834068816
2,85,0.2909904249915507
2,86,0.2967331467362643
2,87,0.3033870014253562
2,88,0.3113711735693963
2,89,0.32125778685667
2,90,0.3334817932987036
2,91,0.3479298126580428
2,92,0.3643698036729549
2,93,0.3823333518710938
2,94,0.4014854664598482
2,95,0.4218076204627509
2,96,0.44246774662618
2,97,0.4628115974070763
2,98,0.4826981922495629
2,99,0.5020284464996989
2,100,0.5209986139178391
2,101,0.5396742277290905
2,102,0.5577599603332611
2,103,0.5755755845852882
2,104,0.593347100690962
2,105,0.6110120407684848
2,106,0.6284605406461854
2,107,0.6454444364531223
2,108,0.6616114990242857
2,109,0.6767826488396226
2,110,0.6907072542265739
2,111,0.7033331484583768
2,112,0.7146821187556629
2,113,0.7248356150016999
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0001738487683794
3,5,0.0005519859532596
3,6,0.0010732683595684
3,7,0.0019852722377435
3,8,0.0032594093994748
3,9,0.0052486875759625
3,10,0.008167731436982
3,11,0.0120400008730646
3,12,0.0168470262713634
3,13,0.0226374372473917
3,14,0.0294707606625758
3,15,0.0372936160073593
3,16,0.0454665868706196
3,17,0.0534713191724708
3,18,0.0608807890949094
3,19,0.0673921287222213
3,20,0.0727778571262679
3,21,0.0768231108201192
3,22,0.0797520202331344
3,23,0.0821663848309262
3,24,0.0847029607669289
3,25,0.0879956304185797
3,26,0.0925690086488843
3,27,0.0988427215205071
3,28,0.1069641820787004
3,29,0.1165185831962876
3,30,0.1269079370946476
3,31,0.1375384570881609
3,32,0.1478078704183765
3,33,0.1572123323429372
3,34,0.1653810042883907
3,35,0.1723043548670502
3,36,0.1783087908468643
3,37,0.1837530289168922
3,38,0.1889158870773296
3,39,0.1940482691156469
3,40,0.1993151892748843
3,41,0.2046773628667871
3,42,0.2099471748171232
3,43,0.2148667347502331
3,44,0.2193077554751965
3,45,0.2232227960573205
3,46,0.2266426198499882
3,47,0.2297064009796607
3,48,0.2326740095851165
3,49,0.2357793454493321
3,50,0.239129416085448
3,51,0.2426791747507995
3,52,0.2463539457742753
3,53,0.2499553551392249
3,54,0.2532064230439244
3,55,0.2558756074226766
3,56,0.2577707687055988
3,57,0.2588526601851056
3,58,0.2593234697981677
3,59,0.2595330223813591
3,60,0.2599298712479553
3,61,0.2608976331453906
3,62,0.2626607354628341
3,63,0.2653884863629537
3,64,0.2691429671860287
3,65,0.2738100828180981
3,66,0.2791131773240604
3,67,0.284904417688708
3,68,0.2913333354329875
3,69,0.2988364405974843
3,70,0.3080418279275576
3,71,0.3195374415932441
3,72,0.3336743675871855
3,73,0.350616674786175
3,74,0.3700965644371662
3,75,0.3914261391821271
3,76,0.4135531583558666
3,77,0.4354911513618761
3,78,0.4566401562650443
3,79,0.4768424294261212
3,80,0.4962653635828172
3,81,0.5153561672883858
3,82,0.5346834351550497
3,83,0.5548517038021163
3,84,0.5759257507763813
3,85,0.597502314106963
3,86,0.6188910315278344
3,87,0.6392438627192777
3,88,0.6576748274448965
4,0,0.2986823595417583
4,1,0.2995280030913049
4,2,0.3008609677504203
4,3,0.3021483127864968
4,4,0.3033439841287232
4,5,0.3045407853471422
4,6,0.3058261002250683
4,7,0.3086235739826503
4,8,0.312061327320837
4,9,0.3160984298555139
4,10,0.3210610722732994
4,11,0.3271783256169117
4,12,0.3344565837652685
4,13,0.3427659671569184
4,14,0.3517510073385423
4,15,0.361290791054456
4,16,0.3712244571665354
4,17,0.3813284393045532
4,18,0.3913695547483165
4,19,0.4012592728632875
4,20,0.41101955419313
4,21,0.4207607567903307
4,22,0.4301808081374779
4,23,0.4391043564531042
4,24,0.4473605087669919
4,25,0.4549036500475843
4,26,0.461682100536012
4,27,0.4676647286804565
4,28,0.4728046618393666
4,29,0.4773160749656136
4,30,0.4813970326755192
4,31,0.4852656203789297
4,32,0.4891212422081133
4,33,0.4931925052621168
4,34,0.497593609889524
4,35,0.5023959919164028
4,36,0.5075756096435323
4,37,0.5129968358170224
4,38,0.5184441699472602
4,39,0.5236352917086612
4,40,0.5282903556959939
4,41,0.5323000179579144
4,42,0.5356585837666892
4,43,0.538447939160114
4,44,0.5408724730136732
4,45,0.5432353875995023
4,46,0.545819885018415
4,47,0.5487725272752334
4,48,0.5520548140233169
4,49,0.5555146136873195
4,50,0.5589348540450995
4,51,0.5620560453928869
4,52,0.5646196555444691
4,53,0.5664842449628077
4,54,0.5676746277203649
4,55,0.568449773244245
4,56,0.569208766403628
4,57,0.5704263560382511
4,58,0.5724674029001581
4,59,0.5755033202376902
4,60,0.5795271411982984
4,61,0.5843993801480788
4,62,0.5897068865859654
4,63,0.5952196878313519
4,64,0.6005161110553644
4,65,0.6053107042152784
4,66,0.6095189370696806
4,67,0.6132026360825333
4,68,0.6165393101140071
4,69,0.6199668590766941
4,70,0.623349925267604
4,71,0.6268315999264665
4,72,0.6306454916239879
4,73,0.6350188668799124
4,74,0.6400849475200651
4,75,0.645853175974013
4,76,0.6521224217650591
4,77,0.6590089446862372
4,78,0.6664624856954725
4,79,0.6742725319076903
4,80,0.6821541061172891
4,81,0.6899406735292323
4,82,0.6975367532741705
4,83,0.7048744155396192
4,84,0.7118238421467756
4,85,0.7182891020523651
4,86,0.7242024804966979
4,87,0.7295510149506127
4,88,0.7343645437995523
4,89,0.7387170038256471
4,90,0.7427543030013507
4,91,0.746639794363821
4,92,0.7505062677907233
4,93,0.754491569172446
4,94,0.7586875862397743
4,95,0.762948447951666
4,96,0.7670631201044381
4,97,0.7707853952506999
4,98,0.7739851330630978
4,99,0.7766851642984122
4,100,0.7789852949408328
4,101,0.7810459830562342
4,102,0.7831291155654216
4,103,0.7854840888015833
4,104,0.7883375988826813
4,105,0.7917444178279077
4,106,0.7955555903280275
4,107,0.7994810593404328
4,108,0.8031317343315193
4,109,0.8061860551083606
4,110,0.808345226536404
4,111,0.8093697446294199
4,112,0.8091410144766517
4,113,0.807767168363069
4,114,0.8054644108088204
4,115,0.802553569141729
4,116,0.7993398120625997
4,117,0.7961894186691273
4,118,0.7934673465097534
4,119,0.7914163799418293
4,120,0.7899362001756582
4,121,0.7888722658449697
4,122,0.7879750724829934
4,123,0.7869017242703654
4,124,0.7853224340660395
4,125,0.7829833792273769
4,126,0.7798747516248961
4,127,0.7762418926694105
4,128,0.7724845151295067
4,129,0.7691079858416613
4,130,0.7666732471249738
4,131,0.7655375300516306
4,132,0.765783997035116
4,133,0.7672463730190321
4,134,0.769683394258472
4,135,0.7726317692798741
4,136,0.7755557179330375
